Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
21	left	1	0.450	o,b	Exp - Hard 2	2	
22	right	0	0.672	o,b	Exp - Hard 2	2	
23	right	1	0.703	B,o	Con - Easy 1	2	
24	right	1	3.572	B,o	Con - Easy 2	2	
25	left	1	0.688	O,b	Con - Easy 2	2	
26	right	1	1.257	b,o	Exp - Hard 2	2	
27	right	1	0.759	b,o	Exp - Hard 1	2	
28	right	1	0.424	B,o	Con - Easy 2	2	
29	left	1	0.507	O,b	Con - Easy 2	2	
30	right	1	0.655	b,o	Exp - Hard 2	2	
31	right	1	1.888	B,o	Con - Easy 1	2	
32	left	1	0.437	O,b	Con - Easy 1	2	
33	left	1	0.389	O,b	Con - Easy 2	2	
34	left	1	0.439	O,b	Con - Easy 2	2	
35	right	0	0.705	o,b	Exp - Hard 1	2	
36	left	0	0.604	b,o	Exp - Hard 1	2	
37	right	1	0.538	B,o	Con - Easy 1	2	
38	right	1	0.371	b,o	Exp - Hard 2	2	
39	left	1	0.423	o,b	Exp - Hard 2	2	
40	left	1	0.554	O,b	Con - Easy 1	2	
1	right	0	2.443	o2,o2	Exp - Hard 2 & Hard 2	
2	right	1	1.196	B1,O1	Exp - Easy 1 & Easy 1	
3	right	1	1.277	O2,b2	Con - Easy 2 & Hard 2	
4	left	1	2.278	o1,O1	Con - Hard 1 & Easy 1	
5	left	1	0.698	o1,O1	Con - Hard 1 & Easy 1	
6	left	1	3.568	O2,o2	Exp - Easy 2 & Hard 2	
7	right	1	0.615	b1,o1	Exp - Hard 1 & Hard 1	
8	right	1	0.923	b2,O2	Con - Hard 2 & Easy 2	
9	right	1	0.791	b1,O1	Con - Hard 1 & Easy 1	
10	right	1	1.045	O2,b2	Con - Easy 2 & Hard 2	
11	right	1	1.211	B2,O2	Exp - Easy 2 & Easy 2	
12	left	1	0.572	O1,O1	Exp - Easy 1 & Easy 1	
13	right	1	0.674	b1,o1	Exp - Hard 1 & Hard 1	
14	left	1	14.925	O1,O1	Exp - Easy 1 & Easy 1	
15	right	1	1.391	O1,b1	Con - Easy 1 & Hard 1	
16	right	0	0.740	o1,o1	Exp - Hard 1 & Hard 1	
17	right	1	4.073	B1,O1	Exp - Easy 1 & Easy 1	
18	right	1	2.889	b2,o2	Exp - Hard 2 & Hard 2	
19	right	1	3.306	b2,o2	Exp - Hard 2 & Hard 2	
20	left	1	1.407	o1,o1	Exp - Hard 1 & Hard 1	
21	right	1	0.890	b2,o2	Exp - Hard 2 & Hard 2	
22	right	1	0.906	B1,O1	Exp - Easy 1 & Easy 1	
23	right	1	1.622	O2,b2	Con - Easy 2 & Hard 2	
24	right	0	0.756	o2,o2	Exp - Hard 2 & Hard 2	
25	left	1	1.276	o2,O2	Con - Hard 2 & Easy 2	
26	right	1	0.725	B1,O1	Exp - Easy 1 & Easy 1	
27	right	1	1.611	O1,b1	Con - Easy 1 & Hard 1	
28	right	1	1.139	B1,O1	Exp - Easy 1 & Easy 1	
29	right	1	1.277	O1,b1	Con - Easy 1 & Hard 1	
30	right	1	0.860	b2,O2	Con - Hard 2 & Easy 2	
31	right	1	1.090	b2,O2	Con - Hard 2 & Easy 2	
32	right	1	0.755	b1,O1	Con - Hard 1 & Easy 1	
33	left	1	0.823	O1,o1	Con - Easy 1 & Hard 1	
34	right	1	0.926	b1,O1	Con - Hard 1 & Easy 1	
35	left	1	0.695	O1,o1	Con - Easy 1 & Hard 1	
36	left	1	1.552	O2,o2	Exp - Easy 2 & Hard 2	
37	right	1	0.689	B2,O2	Exp - Easy 2 & Easy 2	
38	left	1	1.194	o2,O2	Con - Hard 2 & Easy 2	
39	right	0	1.023	o2,o2	Exp - Hard 2 & Hard 2	
40	left	1	0.879	O2,O2	Exp - Easy 2 & Easy 2	
