Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
124	left	1	1.579	B2,B2	Exp - Easy 2 & Easy 2	
125	left	1	0.898	B2,B2	Exp - Easy 2 & Easy 2	
126	left	1	0.807	B2,B2	Exp - Easy 2 & Easy 2	
127	left	1	2.530	B1,b1	Con - Easy 1 & Hard 1	
128	right	1	0.894	O1,B1	Exp - Easy 1 & Easy 1	
129	right	0	4.017	b1,b1	Exp - Hard 1 & Hard 1	
130	right	0	0.815	b1,b1	Exp - Hard 1 & Hard 1	
131	left	1	2.321	B1,b1	Con - Easy 1 & Hard 1	
132	left	1	1.423	b1,b1	Exp - Hard 1 & Hard 1	
133	right	1	1.582	B2,o2	Con - Easy 2 & Hard 2	
134	right	1	0.786	o1,B1	Con - Hard 1 & Easy 1	
135	right	1	1.494	o2,b2	Exp - Hard 2 & Hard 2	
136	right	1	4.108	o2,B2	Con - Hard 2 & Easy 2	
137	right	0	5.723	b2,B2	Con - Hard 2 & Easy 2	
138	left	1	1.501	B2,b2	Con - Easy 2 & Hard 2	
139	right	1	5.152	B2,o2	Con - Easy 2 & Hard 2	
140	left	1	1.986	B2,B2	Exp - Easy 2 & Easy 2	
141	right	1	1.947	o1,b1	Exp - Hard 1 & Hard 1	
142	right	1	2.743	B2,o2	Con - Easy 2 & Hard 2	
143	right	1	4.712	o2,B2	Con - Hard 2 & Easy 2	
144	left	1	1.001	b1,B1	Con - Hard 1 & Easy 1	
145	left	0	2.436	o2,B2	Con - Hard 2 & Easy 2	
146	left	1	0.711	B1,B1	Exp - Easy 1 & Easy 1	
147	left	1	1.833	b2,b2	Exp - Hard 2 & Hard 2	
148	right	1	0.737	O1,B1	Exp - Easy 1 & Easy 1	
149	left	1	1.357	b2,B2	Con - Hard 2 & Easy 2	
150	right	1	0.748	O2,B2	Exp - Easy 2 & Easy 2	
151	left	1	1.812	b1,B1	Con - Hard 1 & Easy 1	
152	left	1	1.585	b2,b2	Exp - Hard 2 & Hard 2	
153	left	0	0.777	B1,o1	Con - Easy 1 & Hard 1	
154	left	0	1.233	o2,B2	Con - Hard 2 & Easy 2	
155	left	1	0.804	B2,b2	Con - Easy 2 & Hard 2	
156	right	1	0.915	o2,B2	Con - Hard 2 & Easy 2	
157	right	0	1.790	b1,b1	Exp - Hard 1 & Hard 1	
158	right	0	2.553	b2,b2	Exp - Hard 2 & Hard 2	
159	right	1	1.258	B1,o1	Con - Easy 1 & Hard 1	
160	right	1	2.030	o1,B1	Con - Hard 1 & Easy 1	
161	left	1	0.971	B1,b1	Con - Easy 1 & Hard 1	
162	left	1	0.904	B1,B1	Exp - Easy 1 & Easy 1	
163	left	1	1.509	b2,B2	Con - Hard 2 & Easy 2	
164	left	1	1.102	b1,b1	Exp - Hard 1 & Hard 1	
165	right	1	1.999	B2,o2	Con - Easy 2 & Hard 2	
166	right	1	1.523	o1,B1	Con - Hard 1 & Easy 1	
167	left	1	0.972	B1,B1	Exp - Easy 1 & Easy 1	
