Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
173	left	1	1.965	o1,O1	Con - Hard 1 & Easy 1	
174	right	0	2.859	O1,o1	Con - Easy 1 & Hard 1	
175	left	0	3.477	O2,b2	Con - Easy 2 & Hard 2	
176	left	1	2.454	O2,O2	Exp - Easy 2 & Easy 2	
177	right	1	3.282	O1,b1	Con - Easy 1 & Hard 1	
178	left	1	4.671	O1,o1	Con - Easy 1 & Hard 1	
179	left	1	3.903	o1,o1	Exp - Hard 1 & Hard 1	
180	right	1	2.107	b1,o1	Exp - Hard 1 & Hard 1	
181	right	0	2.754	o2,o2	Exp - Hard 2 & Hard 2	
182	right	1	3.464	b1,o1	Exp - Hard 1 & Hard 1	
183	left	1	2.833	o1,O1	Con - Hard 1 & Easy 1	
184	right	1	3.525	b1,o1	Exp - Hard 1 & Hard 1	
185	right	0	3.112	O1,o1	Con - Easy 1 & Hard 1	
186	right	1	3.343	O2,b2	Con - Easy 2 & Hard 2	
187	right	0	2.801	O2,O2	Exp - Easy 2 & Easy 2	
188	right	1	2.471	O2,b2	Con - Easy 2 & Hard 2	
189	right	1	2.182	b2,o2	Exp - Hard 2 & Hard 2	
190	right	1	3.617	b2,O2	Con - Hard 2 & Easy 2	
191	left	0	2.089	O1,b1	Con - Easy 1 & Hard 1	
192	left	1	1.585	O2,O2	Exp - Easy 2 & Easy 2	
193	right	1	3.257	b1,O1	Con - Hard 1 & Easy 1	
194	right	0	2.359	o2,O2	Con - Hard 2 & Easy 2	
195	right	1	3.458	b2,O2	Con - Hard 2 & Easy 2	
196	right	0	3.680	o1,O1	Con - Hard 1 & Easy 1	
197	right	1	1.986	b1,O1	Con - Hard 1 & Easy 1	
198	left	1	2.592	O2,o2	Exp - Easy 2 & Hard 2	
199	right	1	3.258	B2,O2	Exp - Easy 2 & Easy 2	
200	right	1	2.401	O2,b2	Con - Easy 2 & Hard 2	
201	right	0	3.163	o2,o2	Exp - Hard 2 & Hard 2	
202	left	0	2.928	b1,O1	Con - Hard 1 & Easy 1	
203	left	0	1.882	O1,b1	Con - Easy 1 & Hard 1	
204	left	1	1.182	O1,O1	Exp - Easy 1 & Easy 1	
205	right	0	2.586	o2,o2	Exp - Hard 2 & Hard 2	
206	left	1	1.540	O2,o2	Exp - Easy 2 & Hard 2	
207	right	1	2.545	B2,O2	Exp - Easy 2 & Easy 2	
208	left	0	4.086	b2,o2	Exp - Hard 2 & Hard 2	
1	right	1	4.220	O,b	Con - Easy 2	1	
2	left	0	5.394	o,b	Exp - Hard 2	1	
3	right	1	1.891	O,b	Con - Easy 2	1	
4	left	1	0.958	B,o	Con - Easy 1	1	
5	left	1	0.789	B,o	Con - Easy 1	1	
6	right	1	1.260	O,b	Con - Easy 1	1	
7	right	1	1.930	o,b	Exp - Hard 2	1	
8	left	1	1.476	b,o	Exp - Hard 2	1	
9	left	1	1.368	B,o	Con - Easy 2	1	
10	left	1	1.345	b,o	Exp - Hard 2	1	
11	right	1	0.900	O,b	Con - Easy 1	1	
12	right	0	1.726	b,o	Exp - Hard 1	1	
13	right	1	0.927	O,b	Con - Easy 2	1	
14	left	1	0.659	b,o	Exp - Hard 1	1	
15	left	1	0.685	b,o	Exp - Hard 2	1	
16	left	1	0.568	B,o	Con - Easy 2	1	
17	left	1	0.996	b,o	Exp - Hard 1	1	
18	right	1	0.992	o,b	Exp - Hard 1	1	
19	left	1	0.690	B,o	Con - Easy 1	1	
20	right	1	0.701	O,b	Con - Easy 2	1	
21	right	1	0.900	O,b	Con - Easy 2	1	
22	right	1	1.337	o,b	Exp - Hard 2	1	
23	right	1	1.276	o,b	Exp - Hard 2	1	
24	left	1	1.134	b,o	Exp - Hard 2	1	
25	left	1	0.595	B,o	Con - Easy 1	1	
26	left	1	0.754	b,o	Exp - Hard 2	1	
