Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
198	right	1	0.711	o2,B2	Con - Hard 2 & Easy 2	
199	right	1	0.594	o1,B1	Con - Hard 1 & Easy 1	
200	left	1	0.886	B2,B2	Exp - Easy 2 & Easy 2	
201	right	1	1.093	B2,o2	Con - Easy 2 & Hard 2	
202	right	1	0.608	O2,B2	Exp - Easy 2 & Easy 2	
203	right	1	0.818	B1,o1	Con - Easy 1 & Hard 1	
204	right	0	1.856	b1,B1	Con - Hard 1 & Easy 1	
205	left	1	1.612	B2,B2	Exp - Easy 2 & Easy 2	
206	right	0	1.565	B2,b2	Con - Easy 2 & Hard 2	
207	right	1	0.642	O1,B1	Exp - Easy 1 & Easy 1	
208	right	1	2.499	o2,B2	Con - Hard 2 & Easy 2	
1	right	1	4.411	b,o	Exp - Hard 2	2	
2	right	1	0.923	B,o	Con - Easy 1	2	
3	right	1	0.687	B,o	Con - Easy 1	2	
4	left	1	0.652	O,b	Con - Easy 2	2	
5	left	1	0.500	o,b	Exp - Hard 1	2	
6	right	1	2.727	b,o	Exp - Hard 1	2	
7	right	1	1.928	b,o	Exp - Hard 2	2	
8	left	1	0.555	O,b	Con - Easy 2	2	
9	right	1	0.778	B,o	Con - Easy 1	2	
10	left	1	0.914	o,b	Exp - Hard 1	2	
11	left	1	0.579	o,b	Exp - Hard 2	2	
12	right	1	0.669	B,o	Con - Easy 2	2	
13	right	1	0.780	B,o	Con - Easy 2	2	
14	left	0	0.766	b,o	Exp - Hard 1	2	
15	left	1	1.220	o,b	Exp - Hard 2	2	
16	left	0	0.814	b,o	Exp - Hard 1	2	
17	left	1	0.637	O,b	Con - Easy 1	2	
18	left	1	0.501	O,b	Con - Easy 2	2	
19	left	0	0.919	b,o	Exp - Hard 1	2	
20	right	1	0.667	B,o	Con - Easy 1	2	
21	left	1	0.627	O,b	Con - Easy 1	2	
22	right	1	0.636	B,o	Con - Easy 2	2	
23	right	0	0.981	O,b	Con - Easy 1	2	
24	right	1	0.899	B,o	Con - Easy 1	2	
25	left	1	0.590	O,b	Con - Easy 2	2	
26	left	1	0.682	o,b	Exp - Hard 2	2	
27	left	1	0.758	O,b	Con - Easy 1	2	
28	right	1	0.728	b,o	Exp - Hard 2	2	
29	left	1	0.847	o,b	Exp - Hard 2	2	
30	left	1	2.159	o,b	Exp - Hard 1	2	
31	left	1	0.849	o,b	Exp - Hard 1	2	
32	right	1	0.651	B,o	Con - Easy 2	2	
33	left	1	1.249	o,b	Exp - Hard 2	2	
34	left	1	0.953	O,b	Con - Easy 2	2	
35	right	1	0.852	b,o	Exp - Hard 1	2	
36	right	1	1.720	b,o	Exp - Hard 2	2	
37	right	1	1.387	b,o	Exp - Hard 2	2	
38	left	1	1.411	o,b	Exp - Hard 1	2	
39	right	1	1.169	B,o	Con - Easy 2	2	
40	left	1	1.213	O,b	Con - Easy 1	2	
1	left	1	2.172	o2,o2	Exp - Hard 2 & Hard 2	
2	right	1	2.604	b1,o1	Exp - Hard 1 & Hard 1	
3	left	0	2.773	b1,o1	Exp - Hard 1 & Hard 1	
4	left	1	0.673	O2,O2	Exp - Easy 2 & Easy 2	
5	left	1	1.647	O1,o1	Con - Easy 1 & Hard 1	
6	left	0	0.860	b2,O2	Con - Hard 2 & Easy 2	
7	left	1	1.008	O2,O2	Exp - Easy 2 & Easy 2	
8	left	1	0.736	O1,O1	Exp - Easy 1 & Easy 1	
9	left	1	1.850	O1,o1	Con - Easy 1 & Hard 1	
10	left	0	1.997	O1,b1	Con - Easy 1 & Hard 1	
11	left	1	1.438	O1,o1	Con - Easy 1 & Hard 1	
12	right	1	1.535	b2,o2	Exp - Hard 2 & Hard 2	
13	right	0	2.867	O2,o2	Exp - Easy 2 & Hard 2	
14	left	1	1.627	O2,O2	Exp - Easy 2 & Easy 2	
15	left	0	2.758	b1,o1	Exp - Hard 1 & Hard 1	
16	left	1	1.168	o1,O1	Con - Hard 1 & Easy 1	
17	left	1	0.976	o1,o1	Exp - Hard 1 & Hard 1	
18	left	0	0.761	b2,O2	Con - Hard 2 & Easy 2	
19	left	1	1.314	O1,o1	Con - Easy 1 & Hard 1	
20	left	0	5.487	b1,o1	Exp - Hard 1 & Hard 1	
21	left	1	0.802	o2,O2	Con - Hard 2 & Easy 2	
22	right	1	1.177	B1,O1	Exp - Easy 1 & Easy 1	
23	left	0	1.542	O2,b2	Con - Easy 2 & Hard 2	
24	left	1	0.945	O1,o1	Con - Easy 1 & Hard 1	
25	left	1	0.862	O2,o2	Exp - Easy 2 & Hard 2	
26	left	1	0.788	O1,O1	Exp - Easy 1 & Easy 1	
27	left	0	0.885	b2,O2	Con - Hard 2 & Easy 2	
28	right	1	0.779	B1,O1	Exp - Easy 1 & Easy 1	
29	left	1	1.200	o1,o1	Exp - Hard 1 & Hard 1	
30	right	1	1.308	O1,b1	Con - Easy 1 & Hard 1	
31	left	0	1.167	b2,O2	Con - Hard 2 & Easy 2	
32	left	1	1.088	O2,O2	Exp - Easy 2 & Easy 2	
33	right	1	2.534	O1,b1	Con - Easy 1 & Hard 1	
34	left	0	2.662	O2,b2	Con - Easy 2 & Hard 2	
35	right	1	1.357	B1,O1	Exp - Easy 1 & Easy 1	
36	left	1	1.117	O2,O2	Exp - Easy 2 & Easy 2	
37	right	1	1.595	B2,O2	Exp - Easy 2 & Easy 2	
38	left	1	0.720	o1,O1	Con - Hard 1 & Easy 1	
39	left	0	0.886	O2,b2	Con - Easy 2 & Hard 2	
40	left	1	0.752	o1,O1	Con - Hard 1 & Easy 1	
41	left	1	0.703	O2,o2	Exp - Easy 2 & Hard 2	
42	left	0	0.716	O2,b2	Con - Easy 2 & Hard 2	
43	left	1	0.588	O2,o2	Exp - Easy 2 & Hard 2	
44	left	0	0.808	b1,O1	Con - Hard 1 & Easy 1	
45	left	0	0.586	b2,o2	Exp - Hard 2 & Hard 2	
46	left	1	0.887	o1,o1	Exp - Hard 1 & Hard 1	
47	left	1	0.699	o1,O1	Con - Hard 1 & Easy 1	
48	right	1	1.899	b2,o2	Exp - Hard 2 & Hard 2	
49	left	0	1.856	O1,b1	Con - Easy 1 & Hard 1	
50	left	1	1.578	O1,o1	Con - Easy 1 & Hard 1	
51	right	0	3.136	o2,o2	Exp - Hard 2 & Hard 2	
52	right	1	1.197	b2,o2	Exp - Hard 2 & Hard 2	
53	right	1	1.282	b2,O2	Con - Hard 2 & Easy 2	
54	left	1	1.538	O2,o2	Exp - Easy 2 & Hard 2	
55	left	1	0.635	O2,o2	Exp - Easy 2 & Hard 2	
56	left	0	0.621	b1,O1	Con - Hard 1 & Easy 1	
57	left	0	0.884	O1,b1	Con - Easy 1 & Hard 1	
58	left	1	0.612	O1,O1	Exp - Easy 1 & Easy 1	
59	left	0	1.119	B2,O2	Exp - Easy 2 & Easy 2	
60	left	0	0.682	b2,O2	Con - Hard 2 & Easy 2	
61	left	1	0.943	o2,O2	Con - Hard 2 & Easy 2	
62	right	1	1.330	b2,o2	Exp - Hard 2 & Hard 2	
63	left	1	0.639	O1,O1	Exp - Easy 1 & Easy 1	
