Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
110	right	0	2.837	b1,b1	Exp - Hard 1 & Hard 1	
111	right	0	3.162	B2,b2	Con - Easy 2 & Hard 2	
112	right	1	3.397	o2,b2	Exp - Hard 2 & Hard 2	
113	right	0	2.802	B2,b2	Con - Easy 2 & Hard 2	
114	right	0	1.224	b2,B2	Con - Hard 2 & Easy 2	
115	right	0	2.292	B1,b1	Con - Easy 1 & Hard 1	
116	right	0	2.063	b2,b2	Exp - Hard 2 & Hard 2	
117	left	1	3.754	b1,B1	Con - Hard 1 & Easy 1	
118	right	0	1.603	B1,b1	Con - Easy 1 & Hard 1	
119	right	1	0.918	O2,B2	Exp - Easy 2 & Easy 2	
120	left	0	1.355	B2,o2	Con - Easy 2 & Hard 2	
121	right	0	1.780	B1,B1	Exp - Easy 1 & Easy 1	
122	right	1	0.785	o1,B1	Con - Hard 1 & Easy 1	
123	right	1	0.902	o2,B2	Con - Hard 2 & Easy 2	
124	right	1	0.848	O1,B1	Exp - Easy 1 & Easy 1	
125	right	0	1.590	b1,b1	Exp - Hard 1 & Hard 1	
126	right	1	0.816	O1,B1	Exp - Easy 1 & Easy 1	
127	left	1	3.245	B2,B2	Exp - Easy 2 & Easy 2	
128	right	0	1.661	b2,B2	Con - Hard 2 & Easy 2	
129	right	0	4.678	b1,B1	Con - Hard 1 & Easy 1	
130	right	1	0.887	o1,b1	Exp - Hard 1 & Hard 1	
131	right	0	1.341	b2,B2	Con - Hard 2 & Easy 2	
132	right	0	1.846	b1,B1	Con - Hard 1 & Easy 1	
133	left	1	3.175	B1,B1	Exp - Easy 1 & Easy 1	
134	left	1	1.040	B1,B1	Exp - Easy 1 & Easy 1	
135	right	1	1.728	o2,b2	Exp - Hard 2 & Hard 2	
136	right	0	2.447	B1,b1	Con - Easy 1 & Hard 1	
137	left	1	3.862	B1,B1	Exp - Easy 1 & Easy 1	
138	right	0	2.496	b2,B2	Con - Hard 2 & Easy 2	
139	right	1	0.875	O1,B1	Exp - Easy 1 & Easy 1	
140	right	1	1.404	B1,o1	Con - Easy 1 & Hard 1	
141	right	1	1.464	o1,B1	Con - Hard 1 & Easy 1	
142	right	1	1.506	o1,B1	Con - Hard 1 & Easy 1	
143	right	1	1.802	o1,B1	Con - Hard 1 & Easy 1	
144	right	0	3.579	B1,b1	Con - Easy 1 & Hard 1	
145	right	1	0.978	o1,b1	Exp - Hard 1 & Hard 1	
146	right	0	1.151	B1,B1	Exp - Easy 1 & Easy 1	
147	right	0	2.230	b2,b2	Exp - Hard 2 & Hard 2	
148	right	1	1.831	B1,o1	Con - Easy 1 & Hard 1	
149	right	0	1.341	b2,B2	Con - Hard 2 & Easy 2	
150	right	1	1.435	B2,o2	Con - Easy 2 & Hard 2	
