Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
98	left	1	1.005	O2,o2	Exp - Easy 2 & Hard 2	
99	right	1	0.528	b2,O2	Con - Hard 2 & Easy 2	
100	right	1	0.489	B2,O2	Exp - Easy 2 & Easy 2	
101	right	0	0.672	o2,o2	Exp - Hard 2 & Hard 2	
102	right	1	0.889	b1,o1	Exp - Hard 1 & Hard 1	
103	left	0	2.156	O2,b2	Con - Easy 2 & Hard 2	
104	right	1	1.405	b2,O2	Con - Hard 2 & Easy 2	
105	left	1	2.090	o2,O2	Con - Hard 2 & Easy 2	
106	right	1	1.223	b2,o2	Exp - Hard 2 & Hard 2	
107	left	1	1.422	O1,o1	Con - Easy 1 & Hard 1	
108	right	1	0.608	B1,O1	Exp - Easy 1 & Easy 1	
109	left	1	0.535	O2,O2	Exp - Easy 2 & Easy 2	
110	left	1	0.506	O1,O1	Exp - Easy 1 & Easy 1	
111	right	1	1.288	B2,O2	Exp - Easy 2 & Easy 2	
112	left	1	0.954	o1,O1	Con - Hard 1 & Easy 1	
113	left	0	1.239	b2,O2	Con - Hard 2 & Easy 2	
114	left	1	0.609	O1,O1	Exp - Easy 1 & Easy 1	
115	left	1	1.071	o2,O2	Con - Hard 2 & Easy 2	
116	left	1	0.472	O1,O1	Exp - Easy 1 & Easy 1	
117	right	1	0.535	B2,O2	Exp - Easy 2 & Easy 2	
118	left	1	0.694	o1,O1	Con - Hard 1 & Easy 1	
119	right	1	0.527	O1,b1	Con - Easy 1 & Hard 1	
120	right	0	1.056	o2,O2	Con - Hard 2 & Easy 2	
121	left	0	1.276	b2,O2	Con - Hard 2 & Easy 2	
122	right	1	0.656	B2,O2	Exp - Easy 2 & Easy 2	
123	right	1	0.776	B2,O2	Exp - Easy 2 & Easy 2	
124	left	0	1.489	O1,b1	Con - Easy 1 & Hard 1	
125	right	1	0.640	b2,o2	Exp - Hard 2 & Hard 2	
126	left	1	0.942	o2,O2	Con - Hard 2 & Easy 2	
127	right	1	1.124	b1,O1	Con - Hard 1 & Easy 1	
128	left	0	1.358	O2,b2	Con - Easy 2 & Hard 2	
129	right	0	2.278	o2,o2	Exp - Hard 2 & Hard 2	
130	left	1	0.989	O2,o2	Exp - Easy 2 & Hard 2	
131	right	1	0.705	B1,O1	Exp - Easy 1 & Easy 1	
132	left	1	0.525	O1,O1	Exp - Easy 1 & Easy 1	
133	left	1	1.026	o2,O2	Con - Hard 2 & Easy 2	
134	right	0	0.889	o2,o2	Exp - Hard 2 & Hard 2	
135	left	1	0.943	O1,o1	Con - Easy 1 & Hard 1	
136	right	0	0.722	o1,o1	Exp - Hard 1 & Hard 1	
137	left	1	2.238	O2,o2	Exp - Easy 2 & Hard 2	
138	right	1	0.655	B1,O1	Exp - Easy 1 & Easy 1	
139	right	1	0.609	B1,O1	Exp - Easy 1 & Easy 1	
140	left	1	0.972	o1,O1	Con - Hard 1 & Easy 1	
141	left	1	0.984	o2,O2	Con - Hard 2 & Easy 2	
142	right	1	0.589	b1,o1	Exp - Hard 1 & Hard 1	
143	right	1	1.927	O1,b1	Con - Easy 1 & Hard 1	
144	right	0	0.806	o2,o2	Exp - Hard 2 & Hard 2	
145	right	0	0.753	o1,o1	Exp - Hard 1 & Hard 1	
146	right	1	1.806	O1,b1	Con - Easy 1 & Hard 1	
147	right	1	0.656	B1,O1	Exp - Easy 1 & Easy 1	
148	right	1	0.453	b1,o1	Exp - Hard 1 & Hard 1	
149	left	1	0.838	o1,O1	Con - Hard 1 & Easy 1	
150	right	0	0.922	o1,o1	Exp - Hard 1 & Hard 1	
151	right	1	0.638	B1,O1	Exp - Easy 1 & Easy 1	
152	right	1	0.573	B1,O1	Exp - Easy 1 & Easy 1	
153	left	0	1.039	b2,O2	Con - Hard 2 & Easy 2	
154	left	1	1.139	o2,O2	Con - Hard 2 & Easy 2	
155	left	1	0.526	O1,O1	Exp - Easy 1 & Easy 1	
156	right	1	0.861	O2,b2	Con - Easy 2 & Hard 2	
157	right	1	0.556	b2,o2	Exp - Hard 2 & Hard 2	
158	left	0	0.989	O2,b2	Con - Easy 2 & Hard 2	
159	left	1	0.089	o1,O1	Con - Hard 1 & Easy 1	
160	right	1	0.551	B2,O2	Exp - Easy 2 & Easy 2	
161	right	0	1.055	o2,o2	Exp - Hard 2 & Hard 2	
162	left	1	0.556	O2,O2	Exp - Easy 2 & Easy 2	
163	right	0	0.739	o2,o2	Exp - Hard 2 & Hard 2	
164	right	1	0.692	b1,o1	Exp - Hard 1 & Hard 1	
165	right	1	0.739	B1,O1	Exp - Easy 1 & Easy 1	
166	left	1	0.539	O1,o1	Con - Easy 1 & Hard 1	
167	left	1	0.858	o1,o1	Exp - Hard 1 & Hard 1	
168	right	1	0.540	O1,b1	Con - Easy 1 & Hard 1	
169	left	1	0.622	O2,O2	Exp - Easy 2 & Easy 2	
170	right	1	0.571	B2,O2	Exp - Easy 2 & Easy 2	
171	right	1	3.073	b1,O1	Con - Hard 1 & Easy 1	
172	left	1	0.489	O1,O1	Exp - Easy 1 & Easy 1	
173	left	1	0.885	o1,O1	Con - Hard 1 & Easy 1	
174	right	1	0.890	O1,b1	Con - Easy 1 & Hard 1	
175	left	1	0.722	O1,o1	Con - Easy 1 & Hard 1	
176	right	1	0.677	B2,O2	Exp - Easy 2 & Easy 2	
177	right	1	0.610	B2,O2	Exp - Easy 2 & Easy 2	
178	left	0	2.694	b2,O2	Con - Hard 2 & Easy 2	
179	right	0	0.941	o2,o2	Exp - Hard 2 & Hard 2	
180	right	1	0.806	b1,O1	Con - Hard 1 & Easy 1	
181	left	0	1.456	b2,O2	Con - Hard 2 & Easy 2	
182	right	1	0.490	b1,o1	Exp - Hard 1 & Hard 1	
183	right	1	1.072	B2,O2	Exp - Easy 2 & Easy 2	
184	right	1	0.572	b1,o1	Exp - Hard 1 & Hard 1	
185	right	1	0.822	B2,O2	Exp - Easy 2 & Easy 2	
186	left	1	0.608	O2,O2	Exp - Easy 2 & Easy 2	
187	left	0	1.255	O2,b2	Con - Easy 2 & Hard 2	
188	left	1	0.944	O2,o2	Exp - Easy 2 & Hard 2	
189	left	1	0.889	o1,O1	Con - Hard 1 & Easy 1	
190	right	1	0.638	b1,o1	Exp - Hard 1 & Hard 1	
191	right	0	0.972	o1,o1	Exp - Hard 1 & Hard 1	
192	left	1	0.585	O1,O1	Exp - Easy 1 & Easy 1	
193	right	0	1.027	o1,o1	Exp - Hard 1 & Hard 1	
194	right	1	5.536	O2,b2	Con - Easy 2 & Hard 2	
195	right	0	1.207	o1,o1	Exp - Hard 1 & Hard 1	
