Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	left	0	1.440	b,o	Exp - Hard 1	2	
143	right	0	1.193	b2,b2	Exp - Hard 2 & Hard 2	
144	left	1	0.840	B1,B1	Exp - Easy 1 & Easy 1	
145	left	1	1.447	B1,b1	Con - Easy 1 & Hard 1	
146	right	1	1.032	B2,o2	Con - Easy 2 & Hard 2	
147	left	1	1.187	B1,b1	Con - Easy 1 & Hard 1	
148	right	1	1.204	B2,o2	Con - Easy 2 & Hard 2	
149	right	0	1.287	B2,b2	Con - Easy 2 & Hard 2	
150	left	1	0.964	B1,B1	Exp - Easy 1 & Easy 1	
151	right	0	2.012	B2,b2	Con - Easy 2 & Hard 2	
152	right	1	2.615	O1,B1	Exp - Easy 1 & Easy 1	
153	right	1	0.784	O2,B2	Exp - Easy 2 & Easy 2	
154	right	1	0.704	O2,B2	Exp - Easy 2 & Easy 2	
155	right	1	0.936	B1,o1	Con - Easy 1 & Hard 1	
156	right	0	2.300	b2,B2	Con - Hard 2 & Easy 2	
157	right	1	1.342	o2,B2	Con - Hard 2 & Easy 2	
158	right	1	1.629	o2,B2	Con - Hard 2 & Easy 2	
159	left	1	0.875	B1,B1	Exp - Easy 1 & Easy 1	
160	right	0	1.520	b2,b2	Exp - Hard 2 & Hard 2	
161	right	0	1.245	b1,B1	Con - Hard 1 & Easy 1	
162	right	1	2.816	o2,b2	Exp - Hard 2 & Hard 2	
163	right	1	1.066	O1,B1	Exp - Easy 1 & Easy 1	
164	left	1	2.142	b1,B1	Con - Hard 1 & Easy 1	
165	left	1	1.975	B1,B1	Exp - Easy 1 & Easy 1	
166	left	0	1.523	B2,B2	Exp - Easy 2 & Easy 2	
167	right	0	2.627	B2,b2	Con - Easy 2 & Hard 2	
168	right	1	1.502	o1,B1	Con - Hard 1 & Easy 1	
169	right	1	0.944	O2,B2	Exp - Easy 2 & Easy 2	
170	right	0	2.260	b2,B2	Con - Hard 2 & Easy 2	
171	right	1	1.058	B1,o1	Con - Easy 1 & Hard 1	
172	right	0	2.418	B2,b2	Con - Easy 2 & Hard 2	
173	right	1	0.736	O2,B2	Exp - Easy 2 & Easy 2	
174	left	0	1.023	B2,B2	Exp - Easy 2 & Easy 2	
175	left	1	0.894	B1,B1	Exp - Easy 1 & Easy 1	
176	right	0	1.306	b2,b2	Exp - Hard 2 & Hard 2	
177	right	1	1.004	B1,o1	Con - Easy 1 & Hard 1	
178	right	1	0.685	O2,B2	Exp - Easy 2 & Easy 2	
179	right	1	0.744	O2,B2	Exp - Easy 2 & Easy 2	
180	right	0	1.330	B2,b2	Con - Easy 2 & Hard 2	
181	right	1	1.269	B2,o2	Con - Easy 2 & Hard 2	
182	right	1	1.374	o1,b1	Exp - Hard 1 & Hard 1	
183	right	1	1.517	o2,b2	Exp - Hard 2 & Hard 2	
184	right	0	1.152	b1,b1	Exp - Hard 1 & Hard 1	
185	left	1	2.464	b2,B2	Con - Hard 2 & Easy 2	
186	left	1	1.187	b1,B1	Con - Hard 1 & Easy 1	
187	left	1	1.424	B1,b1	Con - Easy 1 & Hard 1	
188	right	1	1.199	o2,b2	Exp - Hard 2 & Hard 2	
189	right	0	1.431	b2,b2	Exp - Hard 2 & Hard 2	
190	right	0	1.426	b2,B2	Con - Hard 2 & Easy 2	
191	left	0	0.842	B2,B2	Exp - Easy 2 & Easy 2	
192	right	1	0.997	B1,o1	Con - Easy 1 & Hard 1	
193	left	0	0.895	B2,B2	Exp - Easy 2 & Easy 2	
194	right	0	1.441	B2,b2	Con - Easy 2 & Hard 2	
195	right	1	0.661	O1,B1	Exp - Easy 1 & Easy 1	
196	left	1	0.785	B1,B1	Exp - Easy 1 & Easy 1	
197	right	1	1.505	o2,b2	Exp - Hard 2 & Hard 2	
198	left	1	1.111	B1,b1	Con - Easy 1 & Hard 1	
199	right	1	0.841	o1,B1	Con - Hard 1 & Easy 1	
200	right	1	1.594	o1,B1	Con - Hard 1 & Easy 1	
201	right	1	1.435	o2,B2	Con - Hard 2 & Easy 2	
202	right	1	1.005	o2,b2	Exp - Hard 2 & Hard 2	
203	left	0	0.969	B2,B2	Exp - Easy 2 & Easy 2	
204	right	0	2.171	B2,b2	Con - Easy 2 & Hard 2	
205	left	1	1.030	B2,b2	Con - Easy 2 & Hard 2	
206	right	1	2.509	B2,o2	Con - Easy 2 & Hard 2	
207	right	1	1.393	o1,b1	Exp - Hard 1 & Hard 1	
208	left	1	1.121	b2,B2	Con - Hard 2 & Easy 2	
