Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
207	left	0	0.084	b2,B2	Con - Hard 2 & Easy 2	
208	right	0	0.207	O1,B1	Exp - Easy 1 & Easy 1	
1	right	1	0.421	b,o	Exp - Hard 1	2	
2	left	0	0.202	B,o	Con - Easy 1	2	
3	right	0	0.304	O,b	Con - Easy 1	2	
4	left	0	0.256	b,o	Exp - Hard 1	2	
5	right	1	0.306	B,o	Con - Easy 1	2	
6	left	0	0.308	B,o	Con - Easy 2	2	
7	right	0	0.238	O,b	Con - Easy 2	2	
8	left	1	0.139	o,b	Exp - Hard 1	2	
9	right	1	0.037	b,o	Exp - Hard 2	2	
10	left	1	0.205	O,b	Con - Easy 2	2	
11	right	0	0.270	o,b	Exp - Hard 1	2	
12	left	0	0.105	b,o	Exp - Hard 1	2	
13	right	0	0.674	o,b	Exp - Hard 2	2	
14	right	0	0.039	O,b	Con - Easy 2	2	
15	left	1	0.088	O,b	Con - Easy 1	2	
16	right	0	0.188	O,b	Con - Easy 1	2	
17	left	1	0.505	O,b	Con - Easy 2	2	
18	right	1	0.241	B,o	Con - Easy 2	2	
19	right	0	0.072	O,b	Con - Easy 2	2	
20	right	0	0.122	o,b	Exp - Hard 2	2	
21	left	0	0.089	b,o	Exp - Hard 2	2	
22	right	1	0.237	B,o	Con - Easy 2	2	
23	right	0	0.074	o,b	Exp - Hard 2	2	
24	right	1	0.555	B,o	Con - Easy 1	2	
25	right	1	0.823	b,o	Exp - Hard 2	2	
26	right	0	0.121	o,b	Exp - Hard 1	2	
27	left	1	0.171	o,b	Exp - Hard 1	2	
28	right	1	0.373	B,o	Con - Easy 1	2	
29	right	0	0.205	o,b	Exp - Hard 1	2	
30	left	0	0.171	b,o	Exp - Hard 1	2	
31	right	1	0.521	B,o	Con - Easy 2	2	
32	right	0	0.054	O,b	Con - Easy 1	2	
33	left	1	0.071	o,b	Exp - Hard 2	2	
34	right	1	0.154	B,o	Con - Easy 1	2	
35	left	1	0.071	o,b	Exp - Hard 2	2	
36	right	0	0.204	O,b	Con - Easy 1	2	
37	left	0	0.022	b,o	Exp - Hard 2	2	
38	right	1	0.172	b,o	Exp - Hard 1	2	
39	left	0	0.103	B,o	Con - Easy 2	2	
40	right	1	0.172	b,o	Exp - Hard 2	2	
