Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
28	right	1	0.537	O,b	Con - Easy 1	1	
29	left	1	0.541	B,o	Con - Easy 1	1	
30	left	1	0.480	B,o	Con - Easy 1	1	
31	right	1	0.880	o,b	Exp - Hard 1	1	
32	left	0	0.592	O,b	Con - Easy 1	1	
33	right	1	0.759	o,b	Exp - Hard 1	1	
34	right	1	1.363	o,b	Exp - Hard 1	1	
35	right	1	3.581	o,b	Exp - Hard 1	1	
36	right	0	0.743	b,o	Exp - Hard 1	1	
37	right	1	1.025	o,b	Exp - Hard 1	1	
38	right	1	0.548	O,b	Con - Easy 1	1	
39	right	0	0.520	b,o	Exp - Hard 1	1	
40	left	1	0.462	B,o	Con - Easy 1	1	
1	right	1	1.311	O1,B1	Exp - Easy 1 & Easy 1	
2	left	1	0.560	B1,b1	Con - Easy 1 & Hard 1	
3	right	1	0.650	O1,B1	Exp - Easy 1 & Easy 1	
4	left	1	0.562	b1,B1	Con - Hard 1 & Easy 1	
5	left	0	0.734	B1,o1	Con - Easy 1 & Hard 1	
6	right	1	0.486	O1,B1	Exp - Easy 1 & Easy 1	
7	right	1	0.529	b1,o1	Con - Easy 1 & Hard 1	
8	right	1	0.540	O1,B1	Exp - Easy 1 & Easy 1	
9	right	1	1.045	B1,o1	Con - Easy 1 & Hard 1	
10	right	1	1.008	B1,o1	Con - Easy 1 & Hard 1	
11	right	1	0.897	o1,b1	Exp - Hard 1 & Hard 1	
12	left	1	0.665	B1,B1	Exp - Easy 1 & Easy 1	
13	left	1	0.374	B1,B1	Exp - Easy 1 & Easy 1	
14	left	0	0.696	B1,o1	Con - Easy 1 & Hard 1	
15	left	1	0.629	B1,b1	Con - Easy 1 & Hard 1	
16	left	1	0.759	b1,B1	Con - Hard 1 & Easy 1	
17	right	0	0.845	b1,B1	Con - Hard 1 & Easy 1	
18	right	0	0.891	B1,b1	Con - Easy 1 & Hard 1	
19	right	1	0.569	O1,B1	Exp - Easy 1 & Easy 1	
20	right	0	0.770	b1,b1	Exp - Hard 1 & Hard 1	
21	right	1	0.790	o1,B1	Con - Hard 1 & Easy 1	
22	right	1	0.482	B1,o1	Con - Easy 1 & Hard 1	
23	right	1	1.467	b1,o1	Con - Easy 1 & Hard 1	
24	right	0	0.642	b1,b1	Exp - Hard 1 & Hard 1	
25	right	1	0.604	o1,B1	Con - Hard 1 & Easy 1	
26	right	1	0.635	O1,B1	Exp - Easy 1 & Easy 1	
27	right	1	0.947	B1,o1	Con - Easy 1 & Hard 1	
28	right	0	1.870	B1,b1	Con - Easy 1 & Hard 1	
29	right	1	0.696	o1,b1	Exp - Hard 1 & Hard 1	
30	right	1	0.829	b1,o1	Con - Easy 1 & Hard 1	
31	right	1	0.582	O1,B1	Exp - Easy 1 & Easy 1	
32	right	1	0.614	o1,b1	Exp - Hard 1 & Hard 1	
33	left	0	2.958	o1,b1	Exp - Hard 1 & Hard 1	
34	left	1	0.613	B1,B1	Exp - Easy 1 & Easy 1	
35	left	1	1.540	b1,B1	Con - Hard 1 & Easy 1	
36	right	1	0.583	O1,B1	Exp - Easy 1 & Easy 1	
37	right	1	0.561	b1,o1	Con - Easy 1 & Hard 1	
38	right	1	1.034	o1,B1	Con - Hard 1 & Easy 1	
39	right	1	0.755	b1,o1	Con - Easy 1 & Hard 1	
40	right	0	1.436	b1,b1	Exp - Hard 1 & Hard 1	
41	left	1	0.780	B1,B1	Exp - Easy 1 & Easy 1	
42	right	1	0.589	O1,B1	Exp - Easy 1 & Easy 1	
43	right	0	2.142	B1,b1	Con - Easy 1 & Hard 1	
