Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	0.745	O,b	Con - Easy 1	1	
151	right	0	1.297	O1,o1	Con - Easy 1 & Hard 1	
152	right	0	1.420	o1,O1	Con - Hard 1 & Easy 1	
153	right	1	0.866	B1,O1	Exp - Easy 1 & Easy 1	
154	right	1	2.412	b1,O1	Con - Hard 1 & Easy 1	
155	left	1	1.742	O1,O1	Exp - Easy 1 & Easy 1	
156	right	1	1.328	b1,o1	Exp - Hard 1 & Hard 1	
157	right	1	1.384	b1,o1	Exp - Hard 1 & Hard 1	
158	right	1	0.846	B1,O1	Exp - Easy 1 & Easy 1	
159	left	1	2.522	O1,O1	Exp - Easy 1 & Easy 1	
160	right	1	1.693	b1,O1	Con - Hard 1 & Easy 1	
161	left	1	1.309	O1,O1	Exp - Easy 1 & Easy 1	
162	left	1	1.566	O1,o1	Con - Easy 1 & Hard 1	
163	left	1	1.424	O1,o1	Con - Easy 1 & Hard 1	
164	right	1	1.472	b1,o1	Exp - Hard 1 & Hard 1	
165	left	1	1.590	o1,o1	Exp - Hard 1 & Hard 1	
166	left	1	0.917	O1,O1	Exp - Easy 1 & Easy 1	
167	left	1	1.331	O1,o1	Con - Easy 1 & Hard 1	
168	right	1	1.537	b1,o1	Exp - Hard 1 & Hard 1	
169	right	1	1.994	b1,o1	Exp - Hard 1 & Hard 1	
170	right	1	1.362	b1,O1	Con - Hard 1 & Easy 1	
171	right	1	1.556	B1,O1	Exp - Easy 1 & Easy 1	
172	right	1	1.013	O1,b1	Con - Easy 1 & Hard 1	
173	right	1	1.183	b1,o1	Exp - Hard 1 & Hard 1	
174	left	1	0.731	O1,O1	Exp - Easy 1 & Easy 1	
175	left	1	1.417	O1,o1	Con - Easy 1 & Hard 1	
176	right	1	0.879	O1,b1	Con - Easy 1 & Hard 1	
177	right	1	3.057	b1,o1	Exp - Hard 1 & Hard 1	
178	right	1	0.781	b1,o1	Exp - Hard 1 & Hard 1	
179	left	1	1.269	O1,o1	Con - Easy 1 & Hard 1	
180	right	1	1.723	O1,b1	Con - Easy 1 & Hard 1	
181	left	1	1.175	o1,o1	Exp - Hard 1 & Hard 1	
182	left	1	2.023	o1,O1	Con - Hard 1 & Easy 1	
183	left	1	1.094	O1,O1	Exp - Easy 1 & Easy 1	
184	right	1	1.120	b1,o1	Exp - Hard 1 & Hard 1	
185	left	1	1.314	O1,o1	Con - Easy 1 & Hard 1	
186	right	1	2.137	b1,O1	Con - Hard 1 & Easy 1	
187	right	1	2.215	O1,b1	Con - Easy 1 & Hard 1	
188	right	1	0.816	B1,O1	Exp - Easy 1 & Easy 1	
189	right	1	1.840	b1,o1	Exp - Hard 1 & Hard 1	
190	right	1	0.917	b1,o1	Exp - Hard 1 & Hard 1	
191	right	1	1.296	b1,o1	Exp - Hard 1 & Hard 1	
192	right	1	1.268	O1,b1	Con - Easy 1 & Hard 1	
193	right	1	0.623	B1,O1	Exp - Easy 1 & Easy 1	
194	right	0	1.717	o1,O1	Con - Hard 1 & Easy 1	
195	right	0	2.284	o1,O1	Con - Hard 1 & Easy 1	
196	right	1	3.056	O1,b1	Con - Easy 1 & Hard 1	
197	left	1	1.230	O1,o1	Con - Easy 1 & Hard 1	
198	right	0	1.564	o1,O1	Con - Hard 1 & Easy 1	
199	right	0	1.172	o1,o1	Exp - Hard 1 & Hard 1	
200	right	1	1.636	O1,b1	Con - Easy 1 & Hard 1	
