Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
159	left	0	2.056	b1,O1	Exp - Hard 1 & Easy 1	
160	left	0	0.930	O1,b1	Exp - Easy 1 & Hard 1	
161	left	0	1.119	o2,b2	Exp - Hard 2 & Hard 2	
162	left	0	3.013	O2,b2	Exp - Easy 2 & Hard 2	
163	right	1	0.770	O2,B2	Exp - Easy 2 & Easy 2	
164	right	1	2.087	O2,B2	Exp - Easy 2 & Easy 2	
165	right	1	0.741	o2,b2	Exp - Hard 2 & Hard 2	
166	left	0	0.519	b1,O1	Exp - Hard 1 & Easy 1	
167	right	1	0.925	O1,B1	Exp - Easy 1 & Easy 1	
168	left	0	1.372	O2,b2	Exp - Easy 2 & Hard 2	
169	left	0	1.057	O2,b2	Exp - Easy 2 & Hard 2	
170	right	1	0.656	O2,B2	Exp - Easy 2 & Easy 2	
171	right	1	0.808	O1,B1	Exp - Easy 1 & Easy 1	
172	left	0	1.106	b1,O1	Exp - Hard 1 & Easy 1	
173	left	0	1.490	o1,b1	Exp - Hard 1 & Hard 1	
174	right	1	0.655	O2,B2	Exp - Easy 2 & Easy 2	
175	right	1	0.873	O2,B2	Exp - Easy 2 & Easy 2	
176	left	0	1.206	O2,b2	Exp - Easy 2 & Hard 2	
177	left	0	0.456	b2,O2	Exp - Hard 2 & Easy 2	
178	left	0	0.557	O1,b1	Exp - Easy 1 & Hard 1	
179	left	0	0.740	O2,b2	Exp - Easy 2 & Hard 2	
180	left	0	0.639	O2,b2	Exp - Easy 2 & Hard 2	
181	left	0	0.805	b2,O2	Exp - Hard 2 & Easy 2	
182	left	0	0.541	O1,b1	Exp - Easy 1 & Hard 1	
183	right	1	1.177	o1,b1	Exp - Hard 1 & Hard 1	
184	left	0	0.703	b1,O1	Exp - Hard 1 & Easy 1	
185	left	0	0.680	O2,b2	Exp - Easy 2 & Hard 2	
186	left	0	0.572	b1,O1	Exp - Hard 1 & Easy 1	
187	left	0	0.990	O1,B1	Exp - Easy 1 & Easy 1	
188	left	0	0.541	O1,b1	Exp - Easy 1 & Hard 1	
189	right	1	0.694	o1,b1	Exp - Hard 1 & Hard 1	
190	left	0	0.624	o1,b1	Exp - Hard 1 & Hard 1	
191	left	0	0.570	O1,b1	Exp - Easy 1 & Hard 1	
192	left	0	0.519	b2,O2	Exp - Hard 2 & Easy 2	
193	left	0	0.473	b1,O1	Exp - Hard 1 & Easy 1	
194	right	1	0.891	O2,B2	Exp - Easy 2 & Easy 2	
195	right	1	0.605	O2,B2	Exp - Easy 2 & Easy 2	
196	left	0	0.584	b2,O2	Exp - Hard 2 & Easy 2	
197	right	1	0.608	o1,b1	Exp - Hard 1 & Hard 1	
198	left	0	0.589	b1,O1	Exp - Hard 1 & Easy 1	
199	left	0	0.534	O2,b2	Exp - Easy 2 & Hard 2	
200	right	1	0.808	o1,b1	Exp - Hard 1 & Hard 1	
1	left	1	0.744	B,o	Con - Easy 1	1	
2	left	1	0.372	b,o	Exp - Hard 2	1	
3	right	1	0.473	O,b	Con - Easy 2	1	
4	left	1	0.509	b,o	Exp - Hard 1	1	
5	left	1	0.594	b,o	Exp - Hard 1	1	
6	right	1	0.475	O,b	Con - Easy 1	1	
7	left	1	0.524	B,o	Con - Easy 2	1	
8	left	0	0.704	o,b	Exp - Hard 2	1	
9	left	0	0.520	o,b	Exp - Hard 1	1	
10	right	0	0.806	b,o	Exp - Hard 1	1	
11	left	1	1.026	B,o	Con - Easy 2	1	
12	left	1	0.390	b,o	Exp - Hard 2	1	
13	left	1	0.440	B,o	Con - Easy 1	1	
14	left	1	1.223	b,o	Exp - Hard 2	1	
15	left	1	0.471	B,o	Con - Easy 1	1	
16	left	1	0.457	b,o	Exp - Hard 2	1	
17	left	0	0.690	o,b	Exp - Hard 2	1	
18	left	1	0.555	b,o	Exp - Hard 1	1	
19	left	1	0.439	B,o	Con - Easy 2	1	
20	right	1	0.476	O,b	Con - Easy 2	1	
21	right	1	0.620	O,b	Con - Easy 1	1	
22	right	1	0.654	o,b	Exp - Hard 2	1	
23	right	1	1.724	O,b	Con - Easy 2	1	
24	right	1	0.425	O,b	Con - Easy 2	1	
25	right	1	0.523	O,b	Con - Easy 1	1	
26	left	0	0.673	o,b	Exp - Hard 1	1	
27	left	0	0.655	o,b	Exp - Hard 1	1	
28	left	1	0.418	B,o	Con - Easy 2	1	
29	left	0	0.939	o,b	Exp - Hard 1	1	
30	left	1	0.572	B,o	Con - Easy 1	1	
31	left	1	0.489	B,o	Con - Easy 2	1	
32	right	1	0.792	O,b	Con - Easy 2	1	
33	left	0	1.507	o,b	Exp - Hard 2	1	
34	left	0	0.806	o,b	Exp - Hard 2	1	
35	left	1	0.789	b,o	Exp - Hard 1	1	
36	left	1	1.305	B,o	Con - Easy 1	1	
37	right	1	0.873	O,b	Con - Easy 1	1	
38	right	1	0.675	O,b	Con - Easy 1	1	
39	left	0	0.741	o,b	Exp - Hard 1	1	
40	left	1	0.593	b,o	Exp - Hard 2	1	
1	left	0	1.255	B1,O1	Exp - Easy 1 & Easy 1	
2	left	0	0.639	o2,B2	Exp - Hard 2 & Easy 2	
3	left	0	0.974	B2,o2	Exp - Easy 2 & Hard 2	
4	right	1	1.074	B1,O1	Exp - Easy 1 & Easy 1	
5	left	0	0.702	o2,B2	Exp - Hard 2 & Easy 2	
6	left	0	1.153	b1,o1	Exp - Hard 1 & Hard 1	
7	left	0	0.285	B1,O1	Exp - Easy 1 & Easy 1	
8	left	0	0.802	o2,B2	Exp - Hard 2 & Easy 2	
9	left	0	0.656	b1,o1	Exp - Hard 1 & Hard 1	
10	left	0	0.655	o1,B1	Exp - Hard 1 & Easy 1	
11	right	1	0.707	B2,O2	Exp - Easy 2 & Easy 2	
12	left	0	0.535	B1,o1	Exp - Easy 1 & Hard 1	
13	right	1	0.595	B2,O2	Exp - Easy 2 & Easy 2	
14	left	0	0.739	o2,B2	Exp - Hard 2 & Easy 2	
15	left	0	1.156	b2,o2	Exp - Hard 2 & Hard 2	
16	right	1	0.556	B2,O2	Exp - Easy 2 & Easy 2	
17	left	0	0.702	B1,o1	Exp - Easy 1 & Hard 1	
18	right	1	0.609	B1,O1	Exp - Easy 1 & Easy 1	
19	left	0	0.622	o2,B2	Exp - Hard 2 & Easy 2	
20	right	1	2.701	B2,o2	Exp - Easy 2 & Hard 2	
21	left	0	0.956	B2,o2	Exp - Easy 2 & Hard 2	
22	left	0	0.921	o1,B1	Exp - Hard 1 & Easy 1	
23	right	1	0.636	B2,O2	Exp - Easy 2 & Easy 2	
24	left	0	1.055	B1,O1	Exp - Easy 1 & Easy 1	
25	left	0	1.428	B1,O1	Exp - Easy 1 & Easy 1	
26	left	0	0.654	b2,o2	Exp - Hard 2 & Hard 2	
27	left	0	0.940	b1,o1	Exp - Hard 1 & Hard 1	
28	left	0	0.823	B1,O1	Exp - Easy 1 & Easy 1	
29	left	0	1.172	o2,B2	Exp - Hard 2 & Easy 2	
30	left	0	0.677	b1,o1	Exp - Hard 1 & Hard 1	
31	left	0	0.654	o2,B2	Exp - Hard 2 & Easy 2	
32	left	0	1.189	o1,B1	Exp - Hard 1 & Easy 1	
33	right	1	0.775	B2,o2	Exp - Easy 2 & Hard 2	
34	left	0	0.724	b2,o2	Exp - Hard 2 & Hard 2	
35	left	0	0.822	o1,B1	Exp - Hard 1 & Easy 1	
36	left	0	1.011	B2,o2	Exp - Easy 2 & Hard 2	
37	left	0	1.255	o2,B2	Exp - Hard 2 & Easy 2	
38	left	0	0.928	b1,o1	Exp - Hard 1 & Hard 1	
39	left	0	0.807	B2,o2	Exp - Easy 2 & Hard 2	
40	left	0	1.029	B1,o1	Exp - Easy 1 & Hard 1	
41	left	0	4.441	o2,B2	Exp - Hard 2 & Easy 2	
42	right	1	0.641	B2,O2	Exp - Easy 2 & Easy 2	
43	left	0	0.535	o1,B1	Exp - Hard 1 & Easy 1	
44	left	0	1.028	B2,o2	Exp - Easy 2 & Hard 2	
45	left	0	0.973	b1,o1	Exp - Hard 1 & Hard 1	
46	left	0	0.624	b2,o2	Exp - Hard 2 & Hard 2	
47	left	0	0.672	b1,o1	Exp - Hard 1 & Hard 1	
48	right	1	0.706	B1,O1	Exp - Easy 1 & Easy 1	
49	left	0	0.610	b2,o2	Exp - Hard 2 & Hard 2	
50	left	0	0.789	o1,B1	Exp - Hard 1 & Easy 1	
51	right	1	0.973	B1,O1	Exp - Easy 1 & Easy 1	
52	left	0	0.639	b2,o2	Exp - Hard 2 & Hard 2	
53	right	1	0.672	B1,O1	Exp - Easy 1 & Easy 1	
54	left	0	1.073	o2,B2	Exp - Hard 2 & Easy 2	
55	right	1	1.139	B2,O2	Exp - Easy 2 & Easy 2	
56	left	0	0.739	b2,o2	Exp - Hard 2 & Hard 2	
57	left	0	0.670	B2,o2	Exp - Easy 2 & Hard 2	
58	left	0	0.859	B1,o1	Exp - Easy 1 & Hard 1	
59	left	0	0.657	B2,o2	Exp - Easy 2 & Hard 2	
60	left	0	7.738	B1,o1	Exp - Easy 1 & Hard 1	
61	left	0	0.873	b1,o1	Exp - Hard 1 & Hard 1	
62	left	0	0.822	o1,B1	Exp - Hard 1 & Easy 1	
63	left	0	0.763	b2,o2	Exp - Hard 2 & Hard 2	
64	left	0	0.656	o1,B1	Exp - Hard 1 & Easy 1	
65	right	1	1.275	B1,O1	Exp - Easy 1 & Easy 1	
66	left	0	0.755	o1,B1	Exp - Hard 1 & Easy 1	
67	right	1	1.988	B1,O1	Exp - Easy 1 & Easy 1	
68	left	0	0.623	o2,B2	Exp - Hard 2 & Easy 2	
69	left	0	1.688	B2,o2	Exp - Easy 2 & Hard 2	
70	right	1	1.279	B1,O1	Exp - Easy 1 & Easy 1	
71	right	1	0.678	B2,O2	Exp - Easy 2 & Easy 2	
72	left	0	0.737	b2,o2	Exp - Hard 2 & Hard 2	
73	left	0	1.505	B2,o2	Exp - Easy 2 & Hard 2	
74	left	0	1.705	b2,o2	Exp - Hard 2 & Hard 2	
75	right	1	0.957	B2,O2	Exp - Easy 2 & Easy 2	
76	left	0	0.589	B1,o1	Exp - Easy 1 & Hard 1	
77	left	0	0.656	b2,o2	Exp - Hard 2 & Hard 2	
78	left	0	0.557	B1,o1	Exp - Easy 1 & Hard 1	
79	right	1	0.752	B1,O1	Exp - Easy 1 & Easy 1	
80	left	0	0.522	b1,o1	Exp - Hard 1 & Hard 1	
81	left	0	0.639	B1,o1	Exp - Easy 1 & Hard 1	
82	right	1	0.943	B2,O2	Exp - Easy 2 & Easy 2	
83	left	0	0.622	B2,o2	Exp - Easy 2 & Hard 2	
84	left	0	0.586	o1,B1	Exp - Hard 1 & Easy 1	
85	right	1	0.843	B2,O2	Exp - Easy 2 & Easy 2	
86	left	0	0.572	B1,O1	Exp - Easy 1 & Easy 1	
87	left	0	0.608	b1,o1	Exp - Hard 1 & Hard 1	
88	right	1	0.930	B2,O2	Exp - Easy 2 & Easy 2	
89	right	1	1.942	B2,O2	Exp - Easy 2 & Easy 2	
90	left	0	0.821	o1,B1	Exp - Hard 1 & Easy 1	
91	left	0	0.573	o1,B1	Exp - Hard 1 & Easy 1	
92	left	0	0.575	o2,B2	Exp - Hard 2 & Easy 2	
93	left	0	0.776	B2,o2	Exp - Easy 2 & Hard 2	
94	left	0	0.522	b2,o2	Exp - Hard 2 & Hard 2	
95	left	0	0.540	o1,B1	Exp - Hard 1 & Easy 1	
96	left	0	0.657	o1,B1	Exp - Hard 1 & Easy 1	
97	right	1	1.155	B1,O1	Exp - Easy 1 & Easy 1	
98	left	0	0.818	b1,o1	Exp - Hard 1 & Hard 1	
99	right	1	2.278	B2,O2	Exp - Easy 2 & Easy 2	
100	right	1	4.209	B2,O2	Exp - Easy 2 & Easy 2	
101	left	0	0.890	o1,B1	Exp - Hard 1 & Easy 1	
102	left	0	2.171	B2,o2	Exp - Easy 2 & Hard 2	
103	left	0	0.639	b1,o1	Exp - Hard 1 & Hard 1	
104	right	1	0.762	B2,O2	Exp - Easy 2 & Easy 2	
105	left	0	0.555	B2,O2	Exp - Easy 2 & Easy 2	
106	left	0	0.538	B2,o2	Exp - Easy 2 & Hard 2	
107	left	0	0.706	o2,B2	Exp - Hard 2 & Easy 2	
108	left	0	0.489	b2,o2	Exp - Hard 2 & Hard 2	
109	left	0	1.073	b1,o1	Exp - Hard 1 & Hard 1	
110	left	0	1.358	b2,o2	Exp - Hard 2 & Hard 2	
111	left	0	0.990	o1,B1	Exp - Hard 1 & Easy 1	
112	left	0	0.706	o1,B1	Exp - Hard 1 & Easy 1	
113	left	0	1.140	B2,o2	Exp - Easy 2 & Hard 2	
114	left	0	0.527	b1,o1	Exp - Hard 1 & Hard 1	
115	left	0	0.574	o1,B1	Exp - Hard 1 & Easy 1	
116	left	0	0.720	b1,o1	Exp - Hard 1 & Hard 1	
117	left	0	0.490	b2,o2	Exp - Hard 2 & Hard 2	
118	left	0	0.903	b2,o2	Exp - Hard 2 & Hard 2	
119	left	0	0.890	o1,B1	Exp - Hard 1 & Easy 1	
120	left	0	0.635	o2,B2	Exp - Hard 2 & Easy 2	
121	left	0	0.839	B2,o2	Exp - Easy 2 & Hard 2	
122	left	0	0.610	B1,o1	Exp - Easy 1 & Hard 1	
123	left	0	0.470	b1,o1	Exp - Hard 1 & Hard 1	
124	left	0	0.607	o2,B2	Exp - Hard 2 & Easy 2	
125	left	0	0.806	b1,o1	Exp - Hard 1 & Hard 1	
126	left	0	0.602	B2,o2	Exp - Easy 2 & Hard 2	
127	left	0	0.778	b2,o2	Exp - Hard 2 & Hard 2	
128	right	1	0.757	B1,O1	Exp - Easy 1 & Easy 1	
129	left	0	0.739	B1,o1	Exp - Easy 1 & Hard 1	
130	left	0	0.587	o1,B1	Exp - Hard 1 & Easy 1	
131	left	0	0.573	B1,o1	Exp - Easy 1 & Hard 1	
132	left	0	0.607	b2,o2	Exp - Hard 2 & Hard 2	
133	left	0	0.572	b1,o1	Exp - Hard 1 & Hard 1	
134	right	1	1.360	B1,O1	Exp - Easy 1 & Easy 1	
135	left	0	0.707	B2,o2	Exp - Easy 2 & Hard 2	
136	left	0	0.553	o2,B2	Exp - Hard 2 & Easy 2	
137	right	1	0.620	B2,O2	Exp - Easy 2 & Easy 2	
138	left	0	0.589	o1,B1	Exp - Hard 1 & Easy 1	
139	left	0	0.522	B1,o1	Exp - Easy 1 & Hard 1	
140	left	0	0.989	o2,B2	Exp - Hard 2 & Easy 2	
141	left	0	0.705	o1,B1	Exp - Hard 1 & Easy 1	
142	left	0	0.557	o1,B1	Exp - Hard 1 & Easy 1	
143	left	0	0.672	o2,B2	Exp - Hard 2 & Easy 2	
144	left	0	1.673	B1,O1	Exp - Easy 1 & Easy 1	
