Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	0.644	o,b	Exp - Hard 1	1	
143	right	0	0.190	b1,O1	Con - Hard 1 & Easy 1	
144	left	0	0.258	O1,b1	Con - Easy 1 & Hard 1	
145	right	0	0.015	b2,o2	Exp - Hard 2 & Hard 2	
146	left	0	0.120	O1,o1	Con - Easy 1 & Hard 1	
147	right	1	0.121	O1,O1	Exp - Easy 1 & Easy 1	
148	left	0	0.055	o1,o1	Exp - Hard 1 & Hard 1	
149	left	0	0.189	O2,o2	Exp - Easy 2 & Hard 2	
150	right	0	0.072	b2,o2	Exp - Hard 2 & Hard 2	
151	left	0	0.071	O1,o1	Con - Easy 1 & Hard 1	
152	right	0	0.221	o2,o2	Exp - Hard 2 & Hard 2	
153	left	1	0.039	b2,o2	Exp - Hard 2 & Hard 2	
154	right	0	0.070	o2,O2	Con - Hard 2 & Easy 2	
155	left	0	0.204	b1,o1	Exp - Hard 1 & Hard 1	
156	right	0	0.037	O2,b2	Con - Easy 2 & Hard 2	
157	right	0	0.038	O2,o2	Exp - Easy 2 & Hard 2	
158	right	0	0.037	o2,O2	Con - Hard 2 & Easy 2	
159	left	0	0.089	b1,O1	Con - Hard 1 & Easy 1	
160	left	0	0.220	b1,O1	Con - Hard 1 & Easy 1	
161	right	0	0.055	b2,o2	Exp - Hard 2 & Hard 2	
162	right	0	0.087	b2,O2	Con - Hard 2 & Easy 2	
163	right	0	0.054	B2,O2	Exp - Easy 2 & Easy 2	
164	left	0	0.072	o1,O1	Con - Hard 1 & Easy 1	
165	left	0	0.053	b1,o1	Exp - Hard 1 & Hard 1	
166	left	0	0.173	O2,b2	Con - Easy 2 & Hard 2	
167	left	0	0.054	o1,O1	Con - Hard 1 & Easy 1	
168	right	0	0.220	o2,O2	Con - Hard 2 & Easy 2	
169	left	0	0.072	b2,O2	Con - Hard 2 & Easy 2	
170	right	0	0.069	O1,b1	Con - Easy 1 & Hard 1	
171	right	1	0.037	O1,O1	Exp - Easy 1 & Easy 1	
172	right	1	0.156	B1,O1	Exp - Easy 1 & Easy 1	
173	left	0	0.254	b2,O2	Con - Hard 2 & Easy 2	
174	left	0	0.053	O2,o2	Exp - Easy 2 & Hard 2	
175	left	1	0.038	b2,o2	Exp - Hard 2 & Hard 2	
176	right	1	0.071	O1,O1	Exp - Easy 1 & Easy 1	
177	left	0	0.172	o1,o1	Exp - Hard 1 & Hard 1	
178	right	0	0.118	O2,O2	Exp - Easy 2 & Easy 2	
179	left	1	0.257	b2,o2	Exp - Hard 2 & Hard 2	
180	left	0	0.071	o1,O1	Con - Hard 1 & Easy 1	
181	left	1	0.014	O2,O2	Exp - Easy 2 & Easy 2	
182	right	0	0.155	O1,o1	Con - Easy 1 & Hard 1	
183	left	0	0.221	O1,b1	Con - Easy 1 & Hard 1	
184	right	0	0.137	O2,b2	Con - Easy 2 & Hard 2	
185	left	0	0.138	b1,o1	Exp - Hard 1 & Hard 1	
186	right	0	0.190	B2,O2	Exp - Easy 2 & Easy 2	
187	left	0	0.155	O2,o2	Exp - Easy 2 & Hard 2	
188	right	0	0.087	O2,b2	Con - Easy 2 & Hard 2	
189	left	0	0.067	b2,O2	Con - Hard 2 & Easy 2	
190	right	0	0.037	O2,o2	Exp - Easy 2 & Hard 2	
191	left	0	0.015	O1,o1	Con - Easy 1 & Hard 1	
192	right	1	0.069	b1,o1	Exp - Hard 1 & Hard 1	
193	left	0	0.070	O2,b2	Con - Easy 2 & Hard 2	
194	left	1	0.207	O2,O2	Exp - Easy 2 & Easy 2	
195	left	0	0.155	o1,O1	Con - Hard 1 & Easy 1	
196	right	0	0.104	O1,b1	Con - Easy 1 & Hard 1	
197	left	0	0.120	o1,O1	Con - Hard 1 & Easy 1	
198	right	0	0.172	o2,o2	Exp - Hard 2 & Hard 2	
199	left	1	0.123	o2,o2	Exp - Hard 2 & Hard 2	
200	right	0	0.054	O1,o1	Con - Easy 1 & Hard 1	
201	left	1	0.038	O2,O2	Exp - Easy 2 & Easy 2	
202	left	0	0.189	o1,o1	Exp - Hard 1 & Hard 1	
203	right	0	0.088	O2,O2	Exp - Easy 2 & Easy 2	
204	left	1	0.039	o2,o2	Exp - Hard 2 & Hard 2	
205	left	0	0.088	O1,O1	Exp - Easy 1 & Easy 1	
206	left	0	0.174	o1,o1	Exp - Hard 1 & Hard 1	
207	left	0	0.255	o2,O2	Con - Hard 2 & Easy 2	
208	left	0	0.424	b2,O2	Con - Hard 2 & Easy 2	
