Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
118	left	0	1.152	B2,B2	Exp - Easy 2 & Easy 2	
119	right	1	1.003	O1,B1	Exp - Easy 1 & Easy 1	
120	right	1	0.973	o1,b1	Exp - Hard 1 & Hard 1	
121	right	1	1.192	O1,B1	Exp - Easy 1 & Easy 1	
122	right	0	1.370	b2,b2	Exp - Hard 2 & Hard 2	
123	right	1	3.264	o1,b1	Exp - Hard 1 & Hard 1	
124	right	1	2.050	B2,o2	Con - Easy 2 & Hard 2	
125	left	1	4.373	b1,b1	Exp - Hard 1 & Hard 1	
126	right	1	0.717	O1,B1	Exp - Easy 1 & Easy 1	
127	right	1	0.951	o2,b2	Exp - Hard 2 & Hard 2	
128	right	1	0.850	O2,B2	Exp - Easy 2 & Easy 2	
129	right	1	1.359	B2,o2	Con - Easy 2 & Hard 2	
130	left	0	1.286	o2,B2	Con - Hard 2 & Easy 2	
131	right	1	1.163	o1,B1	Con - Hard 1 & Easy 1	
132	left	0	1.273	o2,B2	Con - Hard 2 & Easy 2	
133	right	0	1.081	b2,b2	Exp - Hard 2 & Hard 2	
134	left	1	0.768	b1,B1	Con - Hard 1 & Easy 1	
135	right	1	0.821	B1,o1	Con - Easy 1 & Hard 1	
136	right	1	0.750	O2,B2	Exp - Easy 2 & Easy 2	
137	left	0	0.679	o1,b1	Exp - Hard 1 & Hard 1	
138	left	0	0.666	B2,B2	Exp - Easy 2 & Easy 2	
139	left	1	1.176	B1,b1	Con - Easy 1 & Hard 1	
140	left	0	1.504	o1,B1	Con - Hard 1 & Easy 1	
141	left	0	3.812	o1,b1	Exp - Hard 1 & Hard 1	
142	right	1	1.003	o1,b1	Exp - Hard 1 & Hard 1	
143	right	1	0.925	B1,o1	Con - Easy 1 & Hard 1	
144	right	0	0.999	B2,B2	Exp - Easy 2 & Easy 2	
145	right	0	1.363	B2,b2	Con - Easy 2 & Hard 2	
146	right	1	1.647	O1,B1	Exp - Easy 1 & Easy 1	
147	right	0	5.291	B1,b1	Con - Easy 1 & Hard 1	
148	right	0	1.584	b1,B1	Con - Hard 1 & Easy 1	
149	right	0	1.003	b2,B2	Con - Hard 2 & Easy 2	
150	right	1	1.950	B1,o1	Con - Easy 1 & Hard 1	
151	right	0	0.812	B1,b1	Con - Easy 1 & Hard 1	
152	right	1	0.792	B1,o1	Con - Easy 1 & Hard 1	
153	left	0	1.337	B2,B2	Exp - Easy 2 & Easy 2	
154	left	0	0.830	O2,B2	Exp - Easy 2 & Easy 2	
155	right	0	0.766	B1,B1	Exp - Easy 1 & Easy 1	
156	right	0	1.496	b2,B2	Con - Hard 2 & Easy 2	
157	right	1	1.088	o1,b1	Exp - Hard 1 & Hard 1	
158	right	1	0.957	o2,b2	Exp - Hard 2 & Hard 2	
159	right	1	0.804	B2,o2	Con - Easy 2 & Hard 2	
160	right	1	1.176	B1,o1	Con - Easy 1 & Hard 1	
161	right	0	0.885	b2,b2	Exp - Hard 2 & Hard 2	
162	right	1	1.251	o1,B1	Con - Hard 1 & Easy 1	
163	right	1	0.838	O1,B1	Exp - Easy 1 & Easy 1	
164	right	1	1.359	B1,o1	Con - Easy 1 & Hard 1	
165	right	0	1.198	B1,b1	Con - Easy 1 & Hard 1	
