Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	1.242	b,o	Exp - Hard 1	2	
146	left	0	0.806	o1,B1	Exp - Hard 1 & Easy 1	
147	right	1	1.369	B1,O1	Exp - Easy 1 & Easy 1	
148	left	0	0.890	b1,o1	Exp - Hard 1 & Hard 1	
149	right	1	0.862	B2,O2	Exp - Easy 2 & Easy 2	
150	left	0	0.540	o2,B2	Exp - Hard 2 & Easy 2	
151	left	0	0.656	b2,o2	Exp - Hard 2 & Hard 2	
152	left	0	0.572	B1,o1	Exp - Easy 1 & Hard 1	
153	left	0	1.108	B1,o1	Exp - Easy 1 & Hard 1	
154	left	0	0.556	B2,o2	Exp - Easy 2 & Hard 2	
155	right	1	0.819	B2,O2	Exp - Easy 2 & Easy 2	
156	left	0	0.722	b2,o2	Exp - Hard 2 & Hard 2	
157	right	1	0.655	B2,O2	Exp - Easy 2 & Easy 2	
158	right	1	1.491	B1,O1	Exp - Easy 1 & Easy 1	
159	left	0	0.872	B2,o2	Exp - Easy 2 & Hard 2	
160	right	1	1.276	B1,O1	Exp - Easy 1 & Easy 1	
161	left	0	1.072	B2,o2	Exp - Easy 2 & Hard 2	
162	left	0	0.453	B2,o2	Exp - Easy 2 & Hard 2	
163	left	0	0.640	o1,B1	Exp - Hard 1 & Easy 1	
164	left	0	0.706	o2,B2	Exp - Hard 2 & Easy 2	
165	left	0	1.256	B2,o2	Exp - Easy 2 & Hard 2	
166	right	1	0.689	B2,O2	Exp - Easy 2 & Easy 2	
167	left	0	0.595	B1,o1	Exp - Easy 1 & Hard 1	
168	left	0	0.775	B2,o2	Exp - Easy 2 & Hard 2	
169	left	0	0.510	b1,o1	Exp - Hard 1 & Hard 1	
170	left	0	0.695	B2,o2	Exp - Easy 2 & Hard 2	
171	left	0	0.556	b1,o1	Exp - Hard 1 & Hard 1	
172	left	0	0.716	B1,o1	Exp - Easy 1 & Hard 1	
173	left	0	2.241	B2,o2	Exp - Easy 2 & Hard 2	
174	left	0	0.776	o2,B2	Exp - Hard 2 & Easy 2	
175	left	0	2.094	b2,o2	Exp - Hard 2 & Hard 2	
176	left	0	0.617	B2,o2	Exp - Easy 2 & Hard 2	
177	right	1	0.679	B2,O2	Exp - Easy 2 & Easy 2	
178	left	0	0.526	o2,B2	Exp - Hard 2 & Easy 2	
179	left	0	0.506	b2,o2	Exp - Hard 2 & Hard 2	
180	left	0	0.676	o2,B2	Exp - Hard 2 & Easy 2	
181	right	1	1.189	B1,O1	Exp - Easy 1 & Easy 1	
182	left	0	0.760	b1,o1	Exp - Hard 1 & Hard 1	
183	left	0	0.588	B2,o2	Exp - Easy 2 & Hard 2	
184	left	0	1.256	B1,o1	Exp - Easy 1 & Hard 1	
185	left	0	0.737	B1,o1	Exp - Easy 1 & Hard 1	
186	left	0	7.307	o2,B2	Exp - Hard 2 & Easy 2	
187	left	0	1.249	b2,o2	Exp - Hard 2 & Hard 2	
188	left	0	0.595	B1,o1	Exp - Easy 1 & Hard 1	
189	left	0	0.672	b2,o2	Exp - Hard 2 & Hard 2	
190	left	0	0.929	b2,o2	Exp - Hard 2 & Hard 2	
191	right	1	3.657	o2,B2	Exp - Hard 2 & Easy 2	
192	left	0	0.574	b2,o2	Exp - Hard 2 & Hard 2	
193	right	1	0.636	B2,O2	Exp - Easy 2 & Easy 2	
194	left	0	0.974	o2,B2	Exp - Hard 2 & Easy 2	
195	left	0	1.006	b1,o1	Exp - Hard 1 & Hard 1	
196	right	1	0.529	B2,O2	Exp - Easy 2 & Easy 2	
197	left	0	2.035	o2,B2	Exp - Hard 2 & Easy 2	
198	left	0	0.611	o1,B1	Exp - Hard 1 & Easy 1	
199	left	0	0.774	b1,o1	Exp - Hard 1 & Hard 1	
200	right	1	0.656	B2,O2	Exp - Easy 2 & Easy 2	
