Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
154	right	1	2.008	b1,o1	Exp - Hard 1 & Hard 1	
155	right	1	5.538	b1,O1	Con - Hard 1 & Easy 1	
156	left	1	1.174	O1,O1	Exp - Easy 1 & Easy 1	
157	right	0	2.088	O1,o1	Con - Easy 1 & Hard 1	
158	left	0	4.424	O1,b1	Con - Easy 1 & Hard 1	
159	left	1	2.396	O1,o1	Con - Easy 1 & Hard 1	
160	right	1	2.442	b1,o1	Exp - Hard 1 & Hard 1	
161	right	1	3.847	b1,o1	Exp - Hard 1 & Hard 1	
162	right	0	3.570	o1,O1	Con - Hard 1 & Easy 1	
163	right	0	1.917	o1,o1	Exp - Hard 1 & Hard 1	
164	right	1	2.232	b1,o1	Exp - Hard 1 & Hard 1	
165	right	1	1.316	b1,O1	Con - Hard 1 & Easy 1	
166	left	1	1.052	O1,o1	Con - Easy 1 & Hard 1	
167	right	1	2.830	O1,b1	Con - Easy 1 & Hard 1	
168	right	1	1.793	O1,b1	Con - Easy 1 & Hard 1	
169	right	0	1.751	o1,O1	Con - Hard 1 & Easy 1	
170	right	1	4.650	b1,o1	Exp - Hard 1 & Hard 1	
171	right	1	1.923	B1,O1	Exp - Easy 1 & Easy 1	
172	right	1	2.128	B1,O1	Exp - Easy 1 & Easy 1	
173	left	1	0.981	o1,O1	Con - Hard 1 & Easy 1	
174	left	0	1.252	B1,O1	Exp - Easy 1 & Easy 1	
175	right	0	2.930	o1,o1	Exp - Hard 1 & Hard 1	
176	right	1	2.420	b1,o1	Exp - Hard 1 & Hard 1	
177	right	0	2.864	o1,O1	Con - Hard 1 & Easy 1	
178	right	1	2.286	b1,o1	Exp - Hard 1 & Hard 1	
179	right	0	3.369	o1,o1	Exp - Hard 1 & Hard 1	
180	right	1	3.104	b1,o1	Exp - Hard 1 & Hard 1	
181	right	1	2.860	b1,O1	Con - Hard 1 & Easy 1	
182	right	0	3.832	O1,o1	Con - Easy 1 & Hard 1	
183	right	0	2.862	o1,O1	Con - Hard 1 & Easy 1	
184	left	1	1.274	O1,o1	Con - Easy 1 & Hard 1	
185	right	0	1.496	o1,o1	Exp - Hard 1 & Hard 1	
186	right	1	1.499	b1,O1	Con - Hard 1 & Easy 1	
187	left	1	0.895	O1,O1	Exp - Easy 1 & Easy 1	
188	right	1	2.761	B1,O1	Exp - Easy 1 & Easy 1	
189	right	0	5.245	O1,o1	Con - Easy 1 & Hard 1	
190	left	0	3.923	b1,O1	Con - Hard 1 & Easy 1	
191	left	1	1.006	o1,O1	Con - Hard 1 & Easy 1	
192	left	0	1.147	b1,O1	Con - Hard 1 & Easy 1	
193	left	0	1.943	O1,b1	Con - Easy 1 & Hard 1	
194	left	1	1.046	o1,O1	Con - Hard 1 & Easy 1	
195	left	1	0.768	O1,O1	Exp - Easy 1 & Easy 1	
196	left	0	1.842	B1,O1	Exp - Easy 1 & Easy 1	
197	left	1	1.509	o1,O1	Con - Hard 1 & Easy 1	
198	left	1	1.422	O1,o1	Con - Easy 1 & Hard 1	
199	right	1	1.853	b1,o1	Exp - Hard 1 & Hard 1	
200	left	0	1.581	b1,o1	Exp - Hard 1 & Hard 1	
1	left	1	1.308	b,o	Exp - Hard 1	1	
2	left	1	1.933	b,o	Exp - Hard 1	1	
3	left	1	0.705	B,o	Con - Easy 1	1	
4	right	1	0.637	O,b	Con - Easy 1	1	
5	right	1	1.682	o,b	Exp - Hard 1	1	
6	left	1	1.054	b,o	Exp - Hard 1	1	
7	right	1	1.077	o,b	Exp - Hard 1	1	
8	right	1	0.752	O,b	Con - Easy 1	1	
9	right	1	1.339	o,b	Exp - Hard 1	1	
10	left	1	0.928	b,o	Exp - Hard 1	1	
11	left	1	0.616	B,o	Con - Easy 1	1	
12	right	1	0.579	O,b	Con - Easy 1	1	
13	left	1	1.275	b,o	Exp - Hard 1	1	
14	left	1	0.979	b,o	Exp - Hard 1	1	
15	right	1	0.584	O,b	Con - Easy 1	1	
16	right	1	0.706	O,b	Con - Easy 1	1	
17	right	1	0.639	O,b	Con - Easy 1	1	
18	left	1	0.580	B,o	Con - Easy 1	1	
19	left	1	0.551	B,o	Con - Easy 1	1	
20	left	1	0.724	b,o	Exp - Hard 1	1	
21	right	1	0.792	o,b	Exp - Hard 1	1	
22	right	1	0.704	O,b	Con - Easy 1	1	
23	right	1	1.271	o,b	Exp - Hard 1	1	
24	left	1	0.625	B,o	Con - Easy 1	1	
25	right	1	0.814	o,b	Exp - Hard 1	1	
26	left	1	1.621	b,o	Exp - Hard 1	1	
27	left	1	0.584	B,o	Con - Easy 1	1	
28	right	1	0.623	O,b	Con - Easy 1	1	
29	left	1	1.089	B,o	Con - Easy 1	1	
30	left	1	0.898	b,o	Exp - Hard 1	1	
31	left	1	0.707	B,o	Con - Easy 1	1	
32	left	1	1.041	b,o	Exp - Hard 1	1	
33	left	1	0.563	B,o	Con - Easy 1	1	
34	right	1	0.636	o,b	Exp - Hard 1	1	
35	right	1	0.981	o,b	Exp - Hard 1	1	
36	left	1	1.382	B,o	Con - Easy 1	1	
37	right	1	0.996	O,b	Con - Easy 1	1	
38	right	1	1.844	o,b	Exp - Hard 1	1	
39	right	1	0.637	O,b	Con - Easy 1	1	
40	right	1	1.359	o,b	Exp - Hard 1	1	
1	right	1	4.991	o1,b1	Exp - Hard 1 & Hard 1	
2	right	1	2.491	o1,b1	Exp - Hard 1 & Hard 1	
3	left	1	3.811	b1,b1	Exp - Hard 1 & Hard 1	
4	left	1	1.663	b1,b1	Exp - Hard 1 & Hard 1	
5	right	0	3.204	b1,b1	Exp - Hard 1 & Hard 1	
6	right	1	1.267	B1,o1	Con - Easy 1 & Hard 1	
7	left	1	1.655	b1,B1	Con - Hard 1 & Easy 1	
8	left	1	0.851	B1,B1	Exp - Easy 1 & Easy 1	
9	left	1	1.761	b1,B1	Con - Hard 1 & Easy 1	
10	right	0	1.232	B1,b1	Con - Easy 1 & Hard 1	
11	left	1	0.935	B1,B1	Exp - Easy 1 & Easy 1	
12	right	1	0.875	B1,o1	Con - Easy 1 & Hard 1	
13	right	1	0.924	O1,B1	Exp - Easy 1 & Easy 1	
14	right	1	1.338	o1,b1	Exp - Hard 1 & Hard 1	
15	right	1	1.737	O1,B1	Exp - Easy 1 & Easy 1	
16	right	0	0.988	B1,b1	Con - Easy 1 & Hard 1	
17	right	0	1.168	B1,b1	Con - Easy 1 & Hard 1	
18	left	1	1.011	B1,B1	Exp - Easy 1 & Easy 1	
19	right	1	1.531	o1,b1	Exp - Hard 1 & Hard 1	
20	right	1	1.363	o1,B1	Con - Hard 1 & Easy 1	
21	right	0	1.206	B1,b1	Con - Easy 1 & Hard 1	
22	right	0	4.623	b1,b1	Exp - Hard 1 & Hard 1	
23	right	1	1.911	o1,B1	Con - Hard 1 & Easy 1	
24	right	0	1.507	b1,b1	Exp - Hard 1 & Hard 1	
25	right	1	0.897	B1,o1	Con - Easy 1 & Hard 1	
26	left	1	0.876	B1,B1	Exp - Easy 1 & Easy 1	
