Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
116	right	1	0.306	b1,O1	Con - Hard 1 & Easy 1	
117	right	1	0.306	b1,o1	Exp - Hard 1 & Hard 1	
118	right	0	0.407	O1,o1	Con - Easy 1 & Hard 1	
119	right	1	0.239	b1,O1	Con - Hard 1 & Easy 1	
120	left	1	0.276	O1,O1	Exp - Easy 1 & Easy 1	
121	right	1	0.239	B1,O1	Exp - Easy 1 & Easy 1	
122	left	1	0.443	o1,o1	Exp - Hard 1 & Hard 1	
123	left	1	0.256	o1,o1	Exp - Hard 1 & Hard 1	
124	right	1	0.256	O1,b1	Con - Easy 1 & Hard 1	
125	right	0	0.239	o1,O1	Con - Hard 1 & Easy 1	
126	left	1	0.222	o1,o1	Exp - Hard 1 & Hard 1	
127	right	1	0.203	b1,o1	Exp - Hard 1 & Hard 1	
128	left	1	0.266	O1,O1	Exp - Easy 1 & Easy 1	
129	left	1	1.460	O1,O1	Exp - Easy 1 & Easy 1	
130	left	1	0.401	O1,o1	Con - Easy 1 & Hard 1	
131	left	0	0.742	b1,o1	Exp - Hard 1 & Hard 1	
132	left	1	0.334	o1,O1	Con - Hard 1 & Easy 1	
133	left	0	1.012	B1,O1	Exp - Easy 1 & Easy 1	
134	right	1	0.218	B1,O1	Exp - Easy 1 & Easy 1	
135	right	0	0.526	O1,o1	Con - Easy 1 & Hard 1	
136	right	0	0.035	o1,O1	Con - Hard 1 & Easy 1	
137	left	0	0.025	B1,O1	Exp - Easy 1 & Easy 1	
138	right	0	0.218	o1,o1	Exp - Hard 1 & Hard 1	
139	right	1	0.229	b1,O1	Con - Hard 1 & Easy 1	
140	right	1	0.250	b1,O1	Con - Hard 1 & Easy 1	
141	right	0	0.146	O1,o1	Con - Easy 1 & Hard 1	
142	left	0	0.417	b1,o1	Exp - Hard 1 & Hard 1	
143	left	1	0.546	o1,O1	Con - Hard 1 & Easy 1	
144	left	1	0.750	O1,O1	Exp - Easy 1 & Easy 1	
145	left	0	0.266	O1,b1	Con - Easy 1 & Hard 1	
146	left	1	0.277	o1,o1	Exp - Hard 1 & Hard 1	
147	right	0	0.250	o1,o1	Exp - Hard 1 & Hard 1	
148	right	0	0.434	o1,O1	Con - Hard 1 & Easy 1	
149	left	1	0.246	O1,O1	Exp - Easy 1 & Easy 1	
150	right	1	0.249	B1,O1	Exp - Easy 1 & Easy 1	
151	left	1	0.271	o1,O1	Con - Hard 1 & Easy 1	
152	right	1	0.199	b1,o1	Exp - Hard 1 & Hard 1	
153	left	0	0.165	B1,O1	Exp - Easy 1 & Easy 1	
154	right	1	0.081	b1,o1	Exp - Hard 1 & Hard 1	
155	left	1	0.378	O1,o1	Con - Easy 1 & Hard 1	
156	right	0	0.283	o1,o1	Exp - Hard 1 & Hard 1	
157	left	1	0.299	O1,O1	Exp - Easy 1 & Easy 1	
158	right	0	0.249	O1,O1	Exp - Easy 1 & Easy 1	
159	left	0	0.289	b1,O1	Con - Hard 1 & Easy 1	
160	right	1	0.274	O1,b1	Con - Easy 1 & Hard 1	
161	left	1	0.240	O1,O1	Exp - Easy 1 & Easy 1	
162	right	1	0.289	b1,O1	Con - Hard 1 & Easy 1	
163	left	0	0.234	B1,O1	Exp - Easy 1 & Easy 1	
164	right	0	0.223	O1,O1	Exp - Easy 1 & Easy 1	
165	left	0	0.290	b1,o1	Exp - Hard 1 & Hard 1	
166	right	1	0.259	O1,b1	Con - Easy 1 & Hard 1	
167	left	1	0.262	o1,O1	Con - Hard 1 & Easy 1	
168	right	1	0.343	B1,O1	Exp - Easy 1 & Easy 1	
169	right	1	0.323	b1,o1	Exp - Hard 1 & Hard 1	
170	left	0	0.739	O1,b1	Con - Easy 1 & Hard 1	
171	left	1	0.223	O1,O1	Exp - Easy 1 & Easy 1	
172	right	1	0.344	O1,b1	Con - Easy 1 & Hard 1	
173	right	0	0.345	o1,O1	Con - Hard 1 & Easy 1	
174	left	0	0.438	b1,o1	Exp - Hard 1 & Hard 1	
175	left	1	0.738	O1,O1	Exp - Easy 1 & Easy 1	
176	right	1	0.345	O1,b1	Con - Easy 1 & Hard 1	
177	right	1	0.239	B1,O1	Exp - Easy 1 & Easy 1	
178	left	0	0.035	O1,b1	Con - Easy 1 & Hard 1	
179	right	1	0.289	B1,O1	Exp - Easy 1 & Easy 1	
180	left	1	0.290	o1,O1	Con - Hard 1 & Easy 1	
181	right	0	0.307	O1,o1	Con - Easy 1 & Hard 1	
182	right	0	0.272	O1,o1	Con - Easy 1 & Hard 1	
183	right	0	0.263	O1,o1	Con - Easy 1 & Hard 1	
184	right	1	0.240	B1,O1	Exp - Easy 1 & Easy 1	
185	right	1	0.289	b1,o1	Exp - Hard 1 & Hard 1	
186	right	0	0.346	o1,O1	Con - Hard 1 & Easy 1	
187	right	0	0.509	o1,o1	Exp - Hard 1 & Hard 1	
188	right	1	0.405	O1,b1	Con - Easy 1 & Hard 1	
189	right	0	0.472	o1,o1	Exp - Hard 1 & Hard 1	
190	right	1	0.429	O1,b1	Con - Easy 1 & Hard 1	
191	right	0	1.289	o1,o1	Exp - Hard 1 & Hard 1	
192	right	1	0.407	b1,O1	Con - Hard 1 & Easy 1	
193	right	0	0.470	o1,o1	Exp - Hard 1 & Hard 1	
194	right	1	0.375	O1,b1	Con - Easy 1 & Hard 1	
